"gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"AL031847.2"	-0.431492428249452	-2.43244767352478	0.429576463123873	0.512196844525391	0.858833748608047
"RPL22"	0.0854271052638778	6.59416369657128	0.0835678020595054	0.772519422761067	0.904900029617341
"RNF207"	-0.469976293098194	1.6939631623499	1.06756605890562	0.301495863280236	0.77267107352007
"ICMT"	0.0861932163452392	3.14150577960948	0.0469817805553161	0.828400989925719	0.910794767272262
"GPR153"	2.37151661864782	0.776460299856516	8.05162289214408	0.00454629099180206	0.0929238106574783
"ACOT7"	0.222290320572997	6.3591734216257	0.318541419821031	0.572485519452744	0.876613052412928
"TNFRSF25"	0.348482932674049	1.44168182622311	0.530997602328128	0.466187748507367	0.846332857710406
"PLEKHG5"	0.134584498296224	4.49389396948388	0.146817436013514	0.701595474124762	0.896999186774768
"NOL9"	-0.377926216521262	4.69612013758181	1.19513150545019	0.274296909255719	0.758463821429175
"AL591866.1"	-0.869627691909043	-1.17512976687834	1.98708579901909	0.158645918506129	0.65675745907613
"ZBTB48"	0.0276837997241582	3.22607619355653	0.00577303367602777	0.939434626248904	0.919676126671694
"KLHL21"	1.29840705615236	2.82959446313371	8.91642649318011	0.00282616971508725	0.0665147184978303
"PHF13"	0.618856421900845	3.02286245183603	2.43329792060625	0.118782763681587	0.593427998365682
"THAP3"	0.434661559322363	3.52077830747533	1.3502541892705	0.245233684017007	0.734077813294856
"DNAJC11"	-0.115851038937396	4.91069429691658	0.115147555664407	0.734358140938692	0.901165179287811
"CAMTA1"	-0.0273351169637594	6.60320199402014	0.00647161170803656	0.93588228176225	0.919676126671694
"PER3"	-0.202307819312519	6.85794651156969	0.468351064638185	0.493746735530611	0.853832875771478
"UTS2"	-0.842651485854009	-2.1195024869195	1.46370906602021	0.226340890402764	0.720794222612818
"AL590128.1"	0.598852775390964	-1.40359724826153	0.986568222256665	0.320582579893947	0.783532918121985
"VAMP3"	-0.0297571518684765	4.94528623499496	0.00821397766928911	0.927785801008876	0.91941249415885
"Z98884.1"	0.458771119631242	-2.30399761090573	0.490085051735163	0.483889367272075	0.850620828952297
"PARK7"	-0.120066430783199	8.35691815099898	0.152380696847558	0.696270582107408	0.895295794070421
"ERRFI1"	0.458631189542616	4.64733050567785	1.76317526115093	0.184228954467385	0.683434848718273
"SLC45A1"	0.0594515803486057	3.29261591462254	0.0194459882179174	0.889095454422514	0.917751225235374
"RERE"	-0.138403110409836	7.53169627824745	0.201092428085211	0.65384051076511	0.891045446968325
"RPL7P11"	-0.100299367905078	0.49506968827302	0.0421236710436923	0.837384212855988	0.911448487887782
"RPL7P7"	-0.0680039406596091	0.946204492228053	0.0204708803267124	0.886229776749909	0.917751225235374
"ENO1"	0.125780311168838	9.04278754015716	0.152472150266021	0.696183989481892	0.895295794070421
"SLC2A5"	0.871164492022645	3.14170596541124	6.06000224040295	0.0138277508918845	0.193911695676702
"GPR157"	-0.173263403314969	-1.74384845111377	0.0537018625157657	0.816742584377407	0.909519467061627
"MIR34AHG"	0.41107022245096	-0.172998968897317	0.51620584261512	0.472464664395619	0.847468940330113
"H6PD"	-0.165543508883061	5.38939881122616	0.274207803925158	0.600523006816611	0.88149648462751
"SPSB1"	0.86248240682211	0.902348660363551	3.06071247239651	0.0802064934723875	0.500390477809089
"SLC25A33"	-0.301658240921691	4.60958469947038	0.816219094399674	0.366287938004443	0.808502513334384
"AL954705.1"	-0.198177970934387	0.9149133377545	0.179423785091126	0.671868898819161	0.894052043542264
"TMEM201"	0.163637803992337	1.49520052411973	0.11276435070112	0.737018646330222	0.901438683071884
"PIK3CD"	0.758467372263959	4.20779244852203	4.3098575010317	0.037892135566124	0.341288105616895
"CLSTN1"	0.404384553034151	8.12124480298404	1.25113797068695	0.263335242314225	0.749338544803832
"CTNNBIP1"	-0.364778021767562	1.94390036838111	0.60124087108915	0.438104968836978	0.834752190606873
"PIK3CD-AS1"	0.237973432378156	-1.64702587541343	0.110888903743643	0.739134392252836	0.901685828113778
"LZIC"	-0.0551226917079778	4.95056232641484	0.0298911890515274	0.862737353479565	0.914289862719517
"NMNAT1"	-0.00271169722027415	1.9470069902415	3.97876851128132e-05	0.994967178613647	0.92518214920141
"RBP7"	-0.449027200417742	3.28525195510252	1.52545069310745	0.216796500732518	0.71223790008131
"UBE4B"	-0.115392733596913	7.19579180732798	0.138513887742771	0.709762901344276	0.897607130213139
"KIF1B"	-0.0965450891650157	11.0358237554655	0.0882809137310687	0.766374100023382	0.904238300969054
"AL139424.2"	-0.122831665863916	-2.14464665090462	0.0321572255375564	0.857683021563346	0.914263321634643
"PGD"	0.413273157562191	5.68270147174357	1.41463696091251	0.234288153975362	0.725689951441657
"CENPS-CORT"	-0.519849818584	-1.28822526655286	0.591186393144778	0.441960714215817	0.836306629125061
"CENPS"	-0.0020356616628257	1.58600225396712	2.0767653544862e-05	0.996363929683154	0.925225770644869
"PEX14"	0.301868204748495	4.62782963396761	0.689669445231118	0.406276837395387	0.823195495262056
"AL590639.1"	0.151191562220331	-1.11359495731879	0.0612819258276494	0.80448115777975	0.90889059973855
"DFFA"	0.199436480543408	4.11583226316183	0.314937278999448	0.574666159172579	0.876938153250499
"CASZ1"	1.48777942753397	0.683188293840847	9.44161594958533	0.00212116517514806	0.0550631086951463
"C1orf127"	-0.0223998983052956	-2.03808455185983	0.000988030457087063	0.974924262414227	0.924037810235436
"TARDBP"	0.0851797441255049	7.4047953457592	0.0840396806231638	0.771895815282363	0.904861865473521
"AL109811.3"	-0.414642249088124	-0.727077295665871	0.524343043909424	0.468994919945006	0.84702554392377
"MASP2"	-0.497662264420213	1.01449949783324	1.18086083779614	0.277180815764055	0.76132306035191
"SRM"	0.103954208365774	2.38847677810669	0.0591477059902692	0.807848132160634	0.90889059973855
"EXOSC10"	-0.381259463120492	5.97905525570403	1.61455863229901	0.203852180972432	0.700817106862503
"AL109811.1"	-0.207205182466828	-2.11009360730698	0.102785725401194	0.748511923676322	0.901877498447936
"MTOR"	-0.024601784022651	7.37429785679761	0.00592833073892507	0.938627002290627	0.919676126671694
"ANGPTL7"	-0.134551977187647	0.244998090597725	0.0581459242318374	0.809450750448917	0.90889059973855
"UBIAD1"	0.130706929735835	4.44443625574774	0.141419039928497	0.706874350225164	0.897316793515698
"DISP3"	0.289219591533991	2.95432887186017	0.588336334529975	0.443063169857123	0.836394649187803
"FBXO2"	0.85802563532853	5.01009733755071	6.25482692735216	0.0123855348463801	0.18020928336978
"FBXO44"	0.437623969228833	4.94207500872048	1.56517168571388	0.210909589789069	0.706155539392023
"FBXO6"	0.267553965049957	2.57656037294974	0.459185111808175	0.49800505865488	0.855118636427296
"MAD2L2"	0.412983778736227	1.98028244950693	0.960345081132361	0.327099950163168	0.78681506225137
"DRAXIN"	1.21525837666275	-1.53153325083454	3.82197699939879	0.0505845192904362	0.39863404081492
"AGTRAP"	0.129528464145091	1.88340670039979	0.0876850040440118	0.767141084604734	0.904238300969054
"MTHFR"	0.0723392832669069	4.71200207664284	0.046042822392355	0.830097975231013	0.910794767272262
"CLCN6"	0.0600075343001671	5.97235000927623	0.0315007442813453	0.859127846817855	0.914263321634643
"NPPA"	0.0510052552514121	-1.08490508618073	0.00503477182301282	0.943432673777229	0.920653149772908
"KIAA2013"	0.318499433738755	3.02964303820959	0.611156117019924	0.434352843454436	0.834323357241317
"PLOD1"	1.46954805715849	6.67877575422889	17.2635740357575	3.25364756551056e-05	0.00248279816565109
"MFN2"	0.0484187759510807	8.14877521095409	0.0227156561083532	0.88019885239849	0.917060541675797
"MIIP"	0.327239588418881	2.83157031266052	0.680396463595899	0.409450236749183	0.824262738485555
"TNFRSF1B"	1.08254165457196	2.70227090465846	8.31571884265443	0.00393034463229513	0.0838268035106697
"VPS13D"	-0.139437550278202	8.75254778185041	0.208860847452641	0.647661728839388	0.889636481704508
"SNORA59A"	0.0569108596303599	1.15811096626598	0.0159273488734826	0.899570761073566	0.91868155338904
"DHRS3"	0.98554994024903	3.10890429063812	7.15711738451169	0.0074667097754874	0.129754988711772
"HNRNPCL1"	0.285774355063571	0.602280872484231	0.341140210829271	0.559171808899815	0.874151152206024
"HNRNPCL2"	0.318626151517123	-0.379132975827197	0.390606296921987	0.531980878453182	0.865059807362813
"HNRNPCL4"	0.264329900185964	-0.301300443855362	0.237037628137161	0.626353930813947	0.8847805646168
"PDPN"	0.667597412725201	2.44478763366531	2.86492677678056	0.0905298296239212	0.528334157203936
"PRDM2"	0.0742642156947134	6.8303520532951	0.0583502585290105	0.809122683676591	0.90889059973855
"KAZN"	0.193271854598432	4.72867305160781	0.311346766701034	0.576854929018505	0.877124132618606
"TMEM51"	1.10860668520653	0.651812575169508	4.24466885991112	0.0393737475255986	0.348130393571679
"C1orf195"	1.13982172796868	-0.703338310162381	4.34294162323219	0.0371626634843629	0.338065051733616
"AL035405.1"	0.406343727851866	-2.29197985512806	0.366915498672139	0.544690405004512	0.869195937990301
"TBCAP2"	0.637265743317239	-0.0296432705618424	1.5441069933419	0.21400752120291	0.710633385780604
"FHAD1"	0.485791187107593	1.31000755865492	1.33624422152775	0.247697394846882	0.735842776088909
"EFHD2"	0.44773058473683	2.91342821477532	1.23702108684765	0.266045936325295	0.752323941181019
"CELA2A"	0.88119350990155	-0.926789764368411	2.52233745760736	0.112244094685126	0.579011027704847
"CELA2B"	0.291936800434993	0.34080440767761	0.344501612737464	0.557242259533242	0.873601898808449
"CASP9"	0.104344251546996	3.3426109878646	0.0806939080743065	0.776359241424363	0.905164490387396
"DNAJC16"	-0.187584319801103	5.12284606757791	0.338813113567211	0.560515117695511	0.874518080863237
"AGMAT"	-0.793694776838013	0.704670841833067	2.05914268768571	0.151295270592643	0.6450188097208
"CHCHD2P6"	-0.503324210647723	-0.243758025784764	0.842658166848473	0.358637638807254	0.804543608365375
"DDI2"	-0.0972452966140902	4.62131062872413	0.0903318877599677	0.763755652355652	0.904238300969054
"PLEKHM2"	0.633146548620758	6.12510765560045	3.8730445045897	0.0490674383102864	0.393496239371353
"FBLIM1"	-0.172612603101493	-1.00795445795471	0.0751569852891016	0.783971084706064	0.90588890425221
"ZBTB17"	0.132447029371153	3.93631749554666	0.133008446525563	0.715332946690512	0.898854066406526
"RSC1A1"	-0.93317076946616	-0.438568712653869	2.75016446082793	0.0972444255159125	0.544019407306951
"RPL12P14"	-0.0762881075231612	-1.635497312028	0.0131758363435726	0.908614709666881	0.91936796352399
"UQCRHL"	-0.0429177682747335	3.70542260284414	0.0157967507701215	0.899981176626554	0.91868155338904
"AL450998.1"	-0.0491469226698455	-0.423644557406785	0.00755813074099443	0.930721183273096	0.919676126671694
"SPEN"	0.378159045992872	7.63672468098105	1.50975414991127	0.219176604745783	0.714195204435116
"AL355994.4"	-1.27993182695847	-1.81665066905567	2.60680058831283	0.106406242119546	0.564740081419489
"SRARP"	1.20165178163034	0.456114206556185	4.24376620336543	0.0393946844875205	0.348130393571679
"HSPB7"	0.632925482961206	-1.76706460490933	0.979584944586463	0.322301298139954	0.784033080630557
"CLCNKA"	-0.0177133304456574	0.576144391533878	0.00139543029197853	0.970201586699706	0.923259553974057
"AL355994.2"	1.2415373768523	0.608153076829581	3.58493421942926	0.058305725054426	0.42609960584824
"CLCNKB"	0.524512333482357	0.363465167938188	1.02877834789386	0.310445771400971	0.778145880715862
"FAM131C"	-0.12211748186137	1.42413861937141	0.0557525454956433	0.813339733844462	0.909327406805971
"EPHA2"	1.47318040323946	3.57159777970874	16.2776095335723	5.47065832140506e-05	0.00376519339024105
"ARHGEF19"	-0.0149052255387242	-1.07093893061438	0.000516445598903736	0.981869283314524	0.92416909507779
"CPLANE2"	0.327328173930663	1.17649419253087	0.462997307433706	0.496226499076804	0.855118636427296
"MT1XP1"	0.456273561007856	1.20748176675654	1.00250702460863	0.316704640764039	0.781688142675462
"FBXO42"	0.124534529538647	4.74044362028103	0.142636013168536	0.705674394990664	0.897265354816376
"SZRD1"	0.425360883414237	3.56654224947869	1.36223200193486	0.243151030469339	0.731404266384023
"RPL22P3"	0.385375669322948	-1.25763513499962	0.446488739991603	0.504007129426772	0.857350141829179
"NECAP2"	0.313446217285612	4.09415620393862	0.76787391967914	0.380875576925048	0.813082031352858
"CROCCP3"	0.124219280052031	3.16952373497396	0.116186378573497	0.733208052251639	0.901079098893502
"LINC01783"	0.591198303658726	-1.50161702184085	0.715240125128565	0.39770968678381	0.820310382919388
"AL355149.1"	1.50690014822197	-1.47800155527734	6.27703996666484	0.0122312234087395	0.179210301934083
"NBPF1"	-0.283941732138785	9.56875757527484	0.824177110666824	0.363961700699696	0.807285461735193
"CROCCP2"	-0.00128570600163806	3.3950059350671	1.2360924237953e-05	0.997194794775574	0.925225770644869
"RNU1-1"	0.77376797283077	4.52182315032028	5.85698995115091	0.0155153055285277	0.207031082997145
"MST1P2"	-0.371445899646992	2.13952458702742	0.866512117865215	0.351922715022001	0.800438484037339
"RNU1-3"	0.777676232160078	4.52114787238488	5.9186009978568	0.0149818499708278	0.203020282546228
"ESPNP"	-0.654039440726925	-1.75321631319975	1.09304454915973	0.295797618405522	0.770098329318225
"AL021920.2"	0.757592866599083	-0.56911308330351	1.84372158524262	0.174515380385363	0.67368317606474
"EIF1AXP1"	-0.19724497911551	1.05191722571627	0.160744998151377	0.68847153945696	0.894838129477655
"MST1L"	-0.308133571044896	0.949431951891417	0.459853539617143	0.497692429576074	0.855118636427296
"BX284668.2"	-0.111387692734529	-1.42976390925512	0.0244546354563902	0.87573367465417	0.916213930951451
"CROCC"	0.391113064699427	4.1111885053258	1.33168553115497	0.248505581297925	0.736420051912128
"RNU1-4"	0.7650989215463	4.60270014891102	5.77130935616766	0.0162898929891482	0.212886528268693
"RNU1-2"	0.76368572417867	4.60414837599915	5.75073849877684	0.0164817266968472	0.214322587758263
"MFAP2"	0.138176525738669	-2.23006503131142	0.0457337064447083	0.830660597329506	0.910794767272262
"ATP13A2"	0.488282894860214	7.56945402109105	1.68423720323887	0.194362377984588	0.69301618735294
"AL049569.1"	0.67464601390531	-2.26431428584131	1.13073928256987	0.28761770352174	0.767239541549209
"SDHB"	-0.366342216559952	7.13468100692728	1.40353255556804	0.236133000058901	0.727314042538322
"PADI2"	-0.460480426968319	6.88056531422465	2.01433859687975	0.155819158396225	0.651255327795827
"PADI1"	-1.10176141662537	-0.275335489180181	2.58573560918703	0.107830302235488	0.568292069961166
"PADI4"	2.01489668028209	-1.67130946809491	10.3841690960632	0.00127100372726674	0.0385406481062055
"RCC2"	0.478779173090677	4.46800956790812	1.59180319971841	0.207068695972051	0.704058009234596
"ARHGEF10L"	0.614902670636904	5.47736123806533	3.54712792507729	0.0596486119170067	0.430055210307889
"IGSF21"	0.418335845403415	3.8035024049563	1.02331444984181	0.311734100427295	0.779729913744962
"PAX7"	0.328827626936423	-1.84762635159134	0.241238735358298	0.623312862962413	0.884740164272893
"ALDH4A1"	-0.291188706249164	5.02591452195771	0.718893675375938	0.39650704359885	0.819931387226543
"IFFO2"	0.647769509290519	4.05724036408586	3.29173299477068	0.0696294947439472	0.466042528944453
"UBR4"	-0.0971728762178154	9.18541010286026	0.0918008738524065	0.761900081025201	0.904039983250388
"AL035413.1"	0.255518267409087	-1.64655809661006	0.16641951237524	0.683313703997222	0.894052043542264
"EMC1"	-0.0677982033426587	5.92502569549826	0.0394147651362715	0.842629224742842	0.912404358166656
"MRTO4"	-0.440249749592618	3.94242602465818	1.49515577230287	0.221418232562468	0.71658238918378
"AKR7A2"	-0.0183259223612809	6.10823607868355	0.00338310361351546	0.953617635019342	0.920700679937084
"AKR7L"	-0.444645168478895	1.73714630195969	1.04679082967157	0.306247347006971	0.774984951932739
"AKR7A3"	-0.569461107300976	2.95471342554198	2.0844680897726	0.148804046229601	0.641278657695259
"PQLC2"	0.0324099695982113	2.27914978455728	0.00545436292584522	0.941126829974021	0.920100714076962
"CAPZB"	-0.0453259303314862	6.20929870453071	0.0186782192993107	0.891293001549044	0.917773112569338
"MINOS1"	-0.14798411980798	4.54440412255343	0.195165654946594	0.658651617968857	0.891695556331864
"NBL1"	0.528757431086138	3.04990307278986	1.70931275643225	0.191074561118191	0.689057546622598
"AL031727.1"	0.0993473050770758	0.442490992075189	0.0423488258922124	0.836956278047913	0.911430035579547
"TMCO4"	0.643281807650199	1.14254521151067	2.04075835320294	0.15313328665412	0.647840519794792
